,congOrgs,match
643,Merck & Co,"('Merck & Co Inc.', 100)"
644,Ascena Retail Group,"('Ascena Retail Group Inc', 100)"
645,Teledyne Technologies,"('Teledyne Technologies Inc.', 100)"
646,Jazz Pharmaceuticals PLC,"('Jazz Pharmaceuticals Plc', 92)"
647,Beam Inc,"('Beam Inc', 100)"
648,Aceto Corp,"('Aceto Corp', 100)"
649,Dupont Fabros Technology,"('DuPont Fabros Technology Inc', 96)"
650,Sais Inc,
651,Graphic Packaging Holding Co,"('Graphic Packaging Holding Co', 100)"
652,Epl Oil & Gas,
653,Arctic Cat Inc,"('Arctic Cat Inc.', 100)"
654,Sirona Dental Systems Inc,"('Sirona Dental Systems Inc', 100)"
655,NU Skin Enterprises,"('Nu Skin Enterprises Inc.', 95)"
656,Perficient Inc,"('Perficient Inc', 100)"
657,Cabela's Inc,"(""Cabela's Inc"", 100)"
658,Newmarket Corp,"('NewMarket Corp', 93)"
659,Hanger Orthopedic Group,
660,Ensign Group,"('Ensign Group Inc (The)', 100)"
661,Anika Therapeutics,"('Anika Therapeutics Inc', 100)"
662,Cantel Medical Corp,"('Cantel Medical Corp.', 100)"
663,ConAgra Foods,
664,Dollar General,"('Dollar General Corp', 100)"
665,Medivation Inc,"('Medivation Inc', 100)"
666,Schweitzer-Mauduit International,
667,Ion Geophysical Corp,
668,Opentable Inc,"('OpenTable Inc', 92)"
669,Parametric Technology Corp,
670,Carrizo Oil & Gas Inc,"('Carrizo Oil & Gas Inc', 100)"
671,Cadence Design Systems,"('Cadence Design Systems Inc', 100)"
672,Hershey Co,"('Hershey Co (The)', 100)"
673,Denbury Resources,"('Denbury Resources Inc.', 100)"
674,Carnival Corp,"('Carnival Corp', 100)"
675,Watson Pharmaceuticals,
676,PVH Corp,"('PVH Corp', 100)"
677,Cardinal Health,"('Cardinal Health Inc', 100)"
678,Rockwood Holdings,"('Rockwood Holdings Inc', 100)"
679,Fifth & Pacific Companies,
680,Petroleum Geo Services,"('Petroleum Geo-Services ASA', 95)"
681,Linkedin Corp,"('LinkedIn Corp', 92)"
682,Skyworks Solutions,"('Skyworks Solutions Inc', 100)"
683,International Paper Co,"('International Paper Co', 100)"
684,The Fresh Market,
685,Red Hat Inc,"('Red Hat Inc', 100)"
686,Limited Brands Inc,
687,Warner Chilcott PLC,
688,F5 Networks,"('F5 Networks Inc', 100)"
689,Celanese Corp,"('Celanese Corp', 100)"
690,ITC Holdings Corp,"('ITC Holdings Corp', 100)"
691,PPG Industries,"('PPG Industries Inc.', 100)"
692,Clean Harbors Inc,"('Clean Harbors Inc', 100)"
693,Robert Half International,"('Robert Half International Inc.', 100)"
694,Ralph Lauren Corp,"('Ralph Lauren Corp', 100)"
695,Splunk Inc,"('Splunk Inc', 100)"
696,Camden Property Trust,"('Camden Property Trust', 100)"
697,Delphi Automotive Plc,
698,Fortinet Inc,"('Fortinet Inc', 100)"
699,Zions Bancorp,"('Zions Bancorporation', 100)"
700,Catamaran Corp,"('Catamaran Corp', 100)"
701,Stericycle Inc,"('Stericycle Inc', 100)"
702,Commvault Systems Inc,"('CommVault Systems Inc', 95)"
703,First Merchants Corp,"('First Merchants Corp', 100)"
704,Wyndham Worldwide,"('Wyndham Worldwide Corp', 100)"
705,Lam Research,"('Lam Research Corp', 100)"
706,Avago Technologies,
707,Sourcefire Inc,"('Sourcefire Inc', 100)"
708,Pall Corp,"('Pall Corp', 100)"
709,LKQ Corp,"('LKQ Corp', 100)"
710,Tenet Healthcare,"('Tenet Healthcare Corp', 100)"
711,Xilinx Inc,"('Xilinx Inc.', 100)"
712,Xylem Inc,"('Xylem Inc', 100)"
713,Motorola Solutions,"('Motorola Solutions Inc', 100)"
714,Southern Co,"('Southern Co Gas', 100)"
715,Agilent Technologies,"('Agilent Technologies Inc', 100)"
716,Alexion Pharmaceuticals,"('Alexion Pharmaceuticals Inc', 100)"
717,Scripps Networks Interactive,"('Scripps Networks Interactive Inc', 100)"
718,Petroleum,"('Aberdeen Petroleum Corp', 100)"
719,Verisk Analytics,"('Verisk Analytics Inc', 100)"
720,Affiliated Managers Group,"('Affiliated Managers Group Inc.', 100)"
721,Merrimack Pharmaceuticals,"('Merrimack Pharmaceuticals Inc', 100)"
722,Cabot Oil & Gas Corp,"('Cabot Oil & Gas Corp', 100)"
723,Eastman Chemical,"('Eastman Chemical Co', 100)"
724,TW Telecom,
725,Consolidated Communications Holdings,"('Consolidated Communications Holdings Inc', 100)"
726,Qlik Technologies,"('Qlik Technologies Inc', 100)"
727,Standard Pacific Corp,
728,WW Grainger Inc,
729,HMS Holdings,"('HMS Holdings Corp', 100)"
730,Costar Group,"('CoStar Group Inc', 92)"
731,Sirius XM Radio,
732,Illumina Inc,"('Illumina Inc', 100)"
733,Lincoln National Corp,"('Lincoln National Corp', 100)"
734,SPX Corp,"('SPX Corp', 100)"
735,Yelp! Inc,
736,Questcor Pharmaceuticals,"('Questcor Pharmaceuticals Inc.', 100)"
737,Pentair Ltd,
738,Harley Davidson Inc,"('Harley-Davidson Inc.', 95)"
739,Royal Caribbean,"('Royal Caribbean Cruises Ltd', 100)"
740,Cigna Corp,"('Cigna Corp', 100)"
741,Moody's Corp,"(""Moody's Corp."", 100)"
742,Extra Space Storage Inc,"('Extra Space Storage Inc', 100)"
743,Fidelity National Financial,"('Fidelity National Financial Inc.', 100)"
744,Paychex Inc,"('Paychex Inc.', 100)"
745,Owens Corning,"('Owens Corning', 100)"
746,Family Dollar Stores,"('Family Dollar Stores Inc.', 100)"
747,Microsemi Corp,"('Microsemi Corp', 100)"
748,Rockwell Automation,"('Rockwell Automation Inc.', 100)"
749,Crown Holdings,"('Crown Holdings Inc', 100)"
750,Whole Foods Market,"('Whole Foods Market Inc', 100)"
751,Onyx Pharmaceuticals,
752,Core Laboratories,"('Core Laboratories', 100)"
753,Ciena Corp,"('Ciena Corp', 100)"
754,Southwest Securities,
755,Marken Interests,
756,Marken Development,
757,Ashwood Court Inc,
758,"2200 acres land/Lindsay, TX",
759,Hartford,"('First Hartford Corp', 100)"
760,Metropolitan,"('Atlantic Metropolitan Corp', 100)"
761,American International Group,"('American International Group Inc', 100)"
762,Community Credit Union Account,
763,First Dallas Securities Account,
764,"292 acres land/Montague County, TX",
765,"12 acres/Dallas, TX",
766,RKM Properties,
767,Raymond James,"('Raymond James Financial Inc.', 100)"
768,Notes Receivable Ashwood,
769,Metropolitan Life Insurance,"('Metropolitan Life Insurance Co', 100)"
770,Hobart Development Corp,
771,Hartford Insurance,
772,Arlington Timberlake Land Develop,
773,American General Insurance,
774,"167 acres/Valley View, TX",
775,Mann Financial,"('Ladenburg Thalmann Financial Services Inc.', 93)"
776,VRV Development,
777,Northcrest Financial,
778,Marchant for Congress,
779,Keller Woodland Springs Ltd,
780,CGM Funds,
781,Sequel Corp,"('Sequel Corp', 100)"
782,Northcrest Mortgage,
783,Lonely Trail 780 LLC,
784,First Dallas Securities,
785,Ameritrade Account,
786,Community Credit Union,
787,Texas Bank,
788,Church Bond Austin,
789,Bonita Land & Cattle,
790,Land/73 Acres,
791,First Dallas Securities Hodges Managed,
792,Viewpoint Financial,
793,View Point Bank Bank Account,
794,CPC Europe Fund IV Carson Partners,
795,CPC Europe Fund III Carson Partners,
796,Evergreen Money Market,
797,BNSF Railway,"('BNSF Railway Company', 100)"
798,CPC Schweppes SBS,
799,Lotsoff Capital SWS Fund,
800,Lazard Asset Manager,
801,Josey Rancho Barn Ltd,
802,Dreman Value Management SWS Fund,
803,Dana Investment SWS Fund,
804,Dana Advisors SWS Fund,
805,CPC Razor SBS,
806,Banco Argentenia for Compass Bank,
807,Arlington Timberlake Ltd,
808,Ariel Capital Management SWS Fund,
809,Ensco International,
810,Luby's Inc,"(""Luby's Inc."", 100)"
811,Mesabi Trust Cbi,"('Mesabi Trust', 100)"
812,Rocky Mountain Chocolate Factory,"('Rocky Mountain Chocolate Factory Inc', 100)"
813,Legg Mason,"('Legg Mason Inc', 100)"
814,US Global Investors Fund,
815,SWS Securities Managed Stock Account,
816,One Tech Partners Milagro Exploration,
817,CPC Energy SBS,
818,Amichi Restaurant,
819,Southwest Airlines,"('Southwest Airlines Co.', 100)"
820,Nighthawk Radiology,"('NightHawk Radiology Holdings Inc', 95)"
821,Nokia Corp,"('Nokia Corp', 100)"
822,Banco Bilbao Vizcaya Argentaria,"('Banco Bilbao Vizcaya Argentaria SA (BBVA)', 100)"
823,Trinity Industries,"('Trinity Industries Inc.', 100)"
824,Gaylord Entertainment,
825,Credit Interest,
826,Sequel IT Corp,
827,First Dallas Bank Deposit Sweep Option,
828,Atmos Energy,"('Atmos Energy Corp', 100)"
829,CBRL Group,
830,Cross At Co,
831,William Wrigley Jr Co,
832,Wyeth,"('Wyeth', 100)"
833,Nestle Sa,
834,Suez Ads,
835,Siemens AG,"('Siemens AG', 100)"
836,Singapore Telecommunications,
837,Devon Energy,"('Devon Energy Corp', 100)"
838,Timber Tech Partners,
839,First Dallas Securities IRA,
840,Compass Bank Bank Account,
841,Vodafone Group,"('Vodafone Group PLC', 100)"
842,Anadarko Petroleum,"('Anadarko Petroleum Corp', 100)"
843,Roche Holdings,"('Roche Holding AG', 93)"
844,Diageo Plc,
845,Hartford Financial Services,"('Hartford Financial Services Group Inc. (The)', 100)"
846,BP,"('BPI Systems Inc', 100)"
847,Total Fina Elf,
848,Prudential plc,
849,Zurich Financial Services,
850,Textron Inc,"('Textron Inc', 100)"
851,TEREX Corp,
852,Daimler AG,"('Daimler AG', 100)"
853,3M Co,"('3M Co', 100)"
854,Heineken NV,"('Heineken NV', 100)"
855,Intesa Sanpaolo,"('Intesa Sanpaolo SPA', 100)"
856,ENI SPA,
857,Aetna Life Casualty,
858,Sanofi,"('Sanofi', 100)"
859,Staples Inc,"('Staples Inc.', 100)"
860,Northrop Grumman,"('Northrop Grumman Corp', 100)"
861,State Street Corp,"('State Street Corp', 100)"
862,E.On Ag,
863,TNT NV,
864,Marathon Oil,"('Marathon Oil Corp', 100)"
865,Imperial Tobacco Group,
866,Credit Suisse Group,"('Credit Suisse Group', 100)"
867,"Becton, Dickinson & Co",
868,Central European Distribution Corp,"('Central European Distribution Corp', 100)"
869,Helmerich & Payne,"('Helmerich & Payne Inc.', 100)"
870,XTO Energy,"('XTO Energy Inc.', 100)"
871,Harris Corp,"('Harris Corp', 100)"
872,Fannie Mae,
873,Washington Mutual,"('Washington Mutual Inc', 100)"
874,Energen Corp,"('Energen Corp.', 100)"
875,Gamestop Corp,"('GameStop Corp.', 92)"
876,MetLife Inc,"('Metlife Inc.', 91)"
877,LM Ericsson Telephone,
878,American Capital Strategies,
879,YUM! Brands,"('YUM! Brands Inc.', 100)"
880,GlaxoSmithkline,"('Glaxosmithkline PLC', 93)"
881,General Mills,"('General Mills Inc.', 100)"
882,Hospitality Properties Trust,"('Hospitality Properties Trust', 100)"
883,Parker-Hannifin,"('Parker-Hannifin Corp', 100)"
884,Pepsi Bottling Group,"('Pepsi Bottling Group Inc.', 100)"
885,Sempra Energy,"('Sempra Energy', 100)"
886,Edison International,"('Edison International', 100)"
887,Lockheed Martin,"('Lockheed Martin Corp', 100)"
888,Best Buy,"('Best Buy Co Inc', 100)"
889,Groupe Danone,"('Danone', 100)"
890,Applied Materials Inc,"('Applied Materials Inc.', 100)"
891,Nike Inc,"('Nike Inc', 100)"
892,Johnson Controls,"('Johnson Controls International Plc', 100)"
893,Praxair Inc,"('Praxair Inc.', 100)"
894,CRH Plc,"('RH', 100)"
895,Nomura Holdings,"('Nomura Holdings Inc', 100)"
896,VF Corp,
897,Pitney Bowes Inc,"('Pitney Bowes Inc.', 100)"
898,Constellation Brands,"('Constellation Brands Inc', 100)"
899,City National Corp,"('City National Corp', 100)"
900,Atheros Communications,"('Atheros Communications Inc', 100)"
901,Questar Corp,"('Questar Corp', 100)"
902,AXA,
903,Smith International,"('Smith International Inc.', 100)"
904,Hewitt Assoc,"('Hewitt Associates Inc.', 100)"
905,Nissan Motor Co,"('Nissan Motor Co Ltd', 100)"
906,iShares Russell 1000 Value Index,
907,UBS AG,"('UBS AG-Old', 100)"
908,Adidas AG,
909,IMS Health,"('IMS Health Holdings Inc', 100)"
910,Energizer Holdings,"('Energizer Holdings Inc', 100)"
911,Mohawk Industries,"('Mohawk Industries Inc.', 100)"
912,Cree Inc,"('Cree Inc.', 100)"
913,Lloyds TSB Group,
914,St Jude Medical,"('St. Jude Medical Inc.', 93)"
915,Clorox Co,"('Clorox Co (The)', 100)"
916,H&R Block,
917,Oshkosh Corp,"('Oshkosh Corp', 100)"
918,Cephalon Inc,"('Cephalon Inc', 100)"
919,Sumitomo Mitsui Financial,"('Sumitomo Mitsui Financial Group Inc', 100)"
920,Tesco Plc,
921,Invitrogen Corp,
922,NASDAQ Stock Market,
923,L-3 Communications,
924,CME Group,"('CME Group Inc', 100)"
925,Helix Energy Solutions,"('Helix Energy Solutions Group Inc', 100)"
926,Cleveland Cliffs Inc,"('Cleveland-Cliffs Inc', 95)"
927,Everest RE Group,"('Everest Re Group Ltd', 94)"
928,Nuance Communications,"('Nuance Communications Inc', 100)"
929,MEMC Electronic Materials,
930,Black & Decker,"('Black & Decker Corp (The)', 100)"
931,CB Richard Ellis,"('CB Richard Ellis Services', 100)"
932,Banco Santander Central Hispano,
933,B/E Aerospace,"('B/E Aerospace Inc', 100)"
934,Allianz SE,"('Allianz SE', 100)"
935,Nymex Holdings,
936,Valueclick Inc,
937,Arch Capital Group,"('Arch Capital Group Ltd', 100)"
938,Cash,"('Payless Cashways', 100)"
939,Noble Energy,"('Noble Energy Inc', 100)"
940,First Solar Inc,"('First Solar Inc', 100)"
941,YRC Worldwide,"('YRC Worldwide Inc', 100)"
942,TD Ameritrade,
943,Cadbury Plc,
944,Sotheby's,"(""Sotheby's"", 100)"
945,Nintendo Co,"('Nintendo Co Ltd', 100)"
946,Dbs Group Holdings,
947,Wesco International,
948,Bally Technologies,"('Bally Technologies Inc', 100)"
949,HSBC Holdings,"('HSBC Holdings PLC', 100)"
950,JA Solar Holdings,"('JA Solar Holdings Co Ltd', 100)"
951,American Eagle Outfitters,"('American Eagle Outfitters Inc.', 100)"
952,Mosaic Co,"('Mosaic Company (The)', 100)"
953,CIT Group,"('CIT Group Inc', 100)"
954,Diamond Offshore Drilling,"('Diamond Offshore Drilling Inc.', 100)"
955,Hoya Corp,
956,Chicago Bridge & Iron,"('Chicago Bridge & Iron Co. NV', 100)"
957,HCC Insurance,"('HCC Insurance Holdings Inc.', 100)"
958,Frontier Oil Corp,"('Frontier Oil Corp.', 100)"
959,Commercial Metals Co,"('Commercial Metals Co', 100)"
960,Genzyme Corp,"('Genzyme Corp', 100)"
961,Hologic Inc,"('Hologic Inc', 100)"
962,Petsmart Inc,"('PetSmart Inc', 92)"
963,WR Berkley Corp,
964,USG Corp,"('USG Corp', 100)"
965,Choicepoint Inc,"('ChoicePoint Inc', 93)"
966,Intuitive Surgical,"('Intuitive Surgical Inc', 100)"
967,Laboratory Corp of America,
968,Dun & Bradstreet,"('Dun & Bradstreet Corp (The)', 100)"
969,Tessera Technologies,
970,Lundin Mining,"('Lundin Mining Corp', 100)"
971,Varian Semiconductor,"('Varian Semiconductor Equipment Associates Inc', 100)"
972,Eli Lilly & Co,
973,Petrobank Energy & Resources,
974,Anixter International,"('Anixter International Inc', 100)"
975,Activision Blizzard,"('Activision Blizzard Inc', 100)"
976,EW Scripps Co,
977,Financial Federal,"('Financial Federal Corp.', 100)"
978,US Bancorp,
979,Solera Holdings,"('Solera Holdings Inc', 100)"
980,Geo Group,
981,Verifone Holdings,
982,Hanover Insurance,"('Hanover Insurance Group Inc (The)', 100)"
983,Navigators Group,"('Navigators Group Inc (The)', 100)"
984,ITT Industries,
985,Net 1 Ueps Technologies,"('Net 1 Ueps Technologies Inc', 100)"
986,Astec Industries,"('Astec Industries Inc.', 100)"
987,Hurco Companies,"('Hurco Companies Inc', 100)"
988,Inventiv Health,
989,LTC Properties,"('LTC Properties Inc.', 100)"
990,Delphi Financial,"('Delphi Financial Group Inc', 100)"
991,Harman International Industries,"('Harman International Industries Inc', 100)"
992,Amerisafe Inc,
993,KV Pharmaceutical,"('K-V Pharmaceutical Co', 94)"
994,Air Methods Corp,"('Air Methods Corp', 100)"
995,Herman Miller Inc,"('Herman Miller Inc', 100)"
996,Cathay Bancorp,
997,McDermott International,"('McDermott International Inc.', 100)"
998,Genco Shipping & Trading,"('Genco Shipping & Trading Ltd', 100)"
999,Affymetrix Inc,"('Affymetrix Inc', 100)"
1000,SanDisk Corp,"('SanDisk Corp', 100)"
1001,Arris Group,"('Harris & Harris Group-Old', 91)"
1002,Wabtec Corp,"('Wabtec Corp', 100)"
1003,Scientific Games Corp,"('Scientific Games Corp', 100)"
1004,Immucor Inc,"('Immucor Inc', 100)"
1005,Maidenform Brands,"('Maidenform Brands Inc', 100)"
1006,Quest Diagnostics,"('Quest Diagnostics Inc', 100)"
1007,FPIC Insurance Group,"('FPIC Insurance Group Inc', 100)"
1008,Vital Signs Inc,"('Vital Signs Inc.', 100)"
1009,Netgear Inc,
1010,Ashford Hospitality Trust,"('Ashford Hospitality Trust Inc.', 100)"
1011,Chart Industries,"('Chart Industries Inc', 100)"
1012,Spss Inc,
1013,FTD Group,
1014,Watson Wyatt Worldwide,
1015,Greif Inc,"('Greif Inc.', 100)"
1016,Progress Software,"('Progress Software Corp', 100)"
1017,Whirlpool Corp,"('Whirlpool Corp', 100)"
1018,Quanex Corp,"('Quanex Corp', 100)"
1019,Focus Media,"('Focus Media Holding Ltd', 100)"
1020,Parexel International,"('Texcel International', 92)"
1021,Royal Caribbean Cruises,"('Royal Caribbean Cruises Ltd', 100)"
1022,J2 Global Communications,
1023,Tupperware Brands,"('Tupperware Brands Corp', 100)"
1024,Mantech International,"('ManTech International Corp', 95)"
1025,Technitrol Inc,
1026,Bright Horizons Family Solutions,"('Bright Horizons Family Solutions Inc', 100)"
1027,Diodes Inc,"('Diodes Inc', 100)"
1028,Sterling Construction,"('Sterling Construction Co Inc', 100)"
1029,Applied Industrial Technologies,"('Applied Industrial Technologies Inc', 100)"
1030,Metabolix Inc,
1031,Cabot Microelectronics,"('Cabot Microelectronics Corp', 100)"
1032,Sovereign Bank,
1033,Veolia Environnement,"('Veolia Environnement, Paris', 100)"
1034,Titanium Metals Corp,"('Titanium Metals Corp', 100)"
1035,Sba Communications,
1036,Trimble Navigation,"('Trimble Navigation Ltd -Pro Forma', 100)"
1037,Hb Fuller Co,
1038,St Mary Land & Exploration,
1039,Health Net Inc,"('Health Net Inc.', 100)"
1040,United Therapeutics,"('United Therapeutics Corp', 100)"
1041,Spartan Stores Inc,
1042,Medarex Inc,"('Medarex Inc', 100)"
1043,Gymboree Corp,"('Gymboree Corp (The)', 100)"
1044,Endo Pharmaceuticals,"('Crescendo Pharmaceuticals Corp', 95)"
1045,Warnaco Group,"('Warnaco Group Inc (The)', 100)"
1046,Nvidia Corp,
1047,Shutterfly Inc,"('Shutterfly Inc', 100)"
1048,Global Industries,"('Global Industries Ltd', 100)"
1049,Emcor Group,
1050,KeyCorp,"('KeyCorp', 100)"
1051,Hasbro Inc,"('Hasbro Inc.', 100)"
1052,FMC Technologies,"('FMC Technologies Inc', 100)"
1053,Iconix Brand,"('Iconix Brand Group Inc', 100)"
1054,Northwest Natural Gas,"('Northwest Natural Gas Co', 100)"
1055,East West Bancorp,"('East West Bancorp Inc.', 100)"
1056,Darling International,
1057,Golden Telecom Inc,"('Golden Telecom Inc', 100)"
1058,IntercontinentalExchange Inc,"('Intercontinental Exchange Inc', 96)"
1059,Sina Corp,"('Sina Corp', 100)"
1060,Alon USA Energy,"('Alon USA Energy Inc', 100)"
1061,Allete Inc,
1062,Community Health Systems,"('Community Health Systems Inc', 100)"
1063,Interpublic Group of Companies,"('Interpublic Group of Companies Inc. (The)', 100)"
1064,McClatchy Newspapers,
1065,Imclone Systems,"('Imclone Systems Inc', 100)"
1066,Ctrip.com International,"('Ctrip.com International Ltd', 100)"
1067,Downey Financial,"('Downey Financial Corp', 100)"
1068,AllianceBernstein LP,"('AllianceBernstein LP', 100)"
1069,Host Hotels & Resorts,"('Host Hotels & Resorts Inc', 100)"
1070,On Semiconductor Corp,"('ON Semiconductor Corp', 95)"
1071,Uranium One Inc,
1072,Bear Stearns,"('Bear Stearns Companies Inc (The)', 100)"
1073,Ranch/2200 acres cattle/equip/Lindsay,
1074,One Tech Partners,
1075,Viewpoint Bank,
1076,View Point Bank Accounts,
1077,TNT Inc,
1078,Ranch/292 acres cattle/equip/Montague,
1079,Ranch/167 acres cattle/equip/Valley View,
1080,Raymond James Brokerage Account,
1081,Land/148 acres,
1082,CPC Razor SBS LP LP,
1083,Texas Indsutries,
1084,Holt-Smith & Yates Advisors SWS Fund,
1085,Arlington Timberlake Phase III & IV Ltd,
1086,GlobalSantaFe Corp,"('GlobalSantaFe Corp.', 100)"
1087,Mesabi Trust Ctf Ben Int,"('Mesabi Trust', 100)"
1088,Crescent Real Estate REIT Equities Trust,
1089,Exelon Corp,"('Exelon Corp', 100)"
1090,First Metroplex Capital Inc,
1091,Rowan Companies,"('Rowan Companies plc', 100)"
1092,Land/292 Acres,
1093,Amichi,
1094,CGM Realty Fund,
1095,CGM Mutual Fund,
1096,Centex Corp,"('Centex Corp.', 100)"
1097,Van Kampen Growth & Income Fund,
1098,Valero Group,
1099,American Funds Growth Fund of America,
1100,New Plan Excel Realty Trust,"('New Plan Excel Realty Trust Inc.', 100)"
1101,Munder Micro Cap Equity Fund,
1102,UST Inc,"('UST Inc.', 100)"
1103,Credit Interest & Cash,
1104,Raymond James Top Ten Bond,
1105,Compass Bank Account,
1106,Church Bond San Marcos,
1107,Church Bond Austin Lakehills,
1108,Barclays,"('BarclaysAmericanCorporation', 100)"
1109,Calamos Growth Fund,
1110,Total SA,
1111,Diageo PLC,"('Diageo PLC', 100)"
