samples,ratio,partial_ratio,token_sort_ratio,partial_token_sort_ratio,token_set_ratio,UWRatio
first citizens bankshares,"('first citizens bancshares inc', 89)","('first citizens bancshares inc', 96)","('first citizens bancshares inc', 89)","('first citizens bancshares inc', 96)","('first citizens bancshares inc', 89)","('first citizens bancshares inc', 89)"
eaton vance atlanta capital smid-cap fund,"('eaton vance califonia municipal bond fund', 68)",,"('eaton vance califonia municipal bond fund', 63)",,"('eaton vance corp.', 81)",
smallcap world funds,,,,,,
mass mutual financial,,,,,,
ishares barclays 1-3 year credit bond fd,,,,,,
"1405 lathern road/greensboro, nc",,,,,,
reid family revocable trust govt lot 10,,,,,,
"loudoun cnty, va santn auth wtr swr bond",,,,,,
north government select,,,,,,
artisan mid cap value fund,,,,,,
dcth,,,,,,
ubs ira alternative strategies,,,,,,
artio funds international equity fund,,,,,,
foxx for congress,,,,,,
guggenheim mgd futures,,,,,,
international marinas - chub ltd,,,,,,
colo community bank/cd,,,,,,
us senate employees fcu/checking,,,,,,
entergy ark inc 472 pfd,,,,,,
notes receivable/non-compete agreements,,,,,,
westcore small cap value fund,,,,,,
zs cwr lp,,,,,,
"36-02 212 street/bayside, ny",,,,,,
neuberger berman amt regency,"('neuberger berman inc.', 79)","('neuberger berman inc.', 85)","('neuberger berman inc.', 67)","('neuberger berman inc.', 80)","('neuberger berman inc.', 89)",
fidelity freedom income,,,,,,
premier select traditional ira,,,,,,
"residential rental - harrisburg, pa",,,,,,
heritage cash trust money market,"('heritage bankshares inc', 58)",,,,,
prudential bank & trust/money market,,,,"('prudential plc', 79)","('prudential plc', 83)",
powershares europe curr hed lv,"('powershares dynamic europe portfolio', 64)",,"('powershares dynamic europe portfolio', 67)","('powershares dynamic europe portfolio', 73)","('powershares dynamic europe portfolio', 75)",
ffcb discount note bonds,,,,,,
bonds blackrock liquidity funds,,,,,,
van kampen hef equity & income portfolio,"('van kampen high income trust', 68)",,"('van kampen high income trust', 70)",,"('van kampen income trust', 85)",
hillsboro assoc i,,,,,,
powershares etf international,,,,,,
ameritrade - dm,,"('td ameritrade holding corp', 80)",,"('td ameritrade holding corp', 85)","('td ameritrade holding corp', 87)",
mkt vectors etf agribusn,,,,,,
lakota oh loc sch dist sch imbds ser 2,,,,,,
"oesola, tx isd bond",,,,,,
mfs investors growth,,,,,,
carolina bank holdings,"('carolina bank holdings inc', 92)","('carolina bank holdings inc', 100)","('carolina bank holdings inc', 92)","('carolina bank holdings inc', 100)","('carolina bank holdings inc', 100)","('carolina bank holdings inc', 95)"
arderd family lp,,,,,,
ctm media,,,,,,
county employees credit union accounts,,,,,,
bridgeway aggressive investors ii fund,,,,,,
iowa state university,,,,,,
blum strategic advisors iv llc,,,,,,
maspeth federal,,,,,,
proshares ultrashort lehman 20 year etf,,,,,,
a&b of richland llc-note receivable,,,,,,
goldman sachs private equity partners 2002 lp,,,,,,
pension boards united church of chri,,,,,,
college america 529,,,,,,
garden nj preservation tr open space,,,,,,
russell real estate,,,,,,
"office building/tuscaloosa, al",,,,,,
murphy usa,"('murphy usa inc', 83)","('murphy usa inc', 100)","('murphy usa inc', 83)","('murphy usa inc', 100)","('murphy usa inc', 100)","('murphy usa inc', 95)"
charles schwab/money market (sarsep),,,,,,
stone street real estate lp 00,,,,,,
prcm partners 2,,,,,,
spdr s&p pharmaceuticals etf,,"('spdr series trust s&p pharmaceuticals etf', 89)","('spdr series trust s&p pharmaceuticals etf', 81)","('spdr series trust s&p pharmaceuticals etf', 93)","('spdr series trust s&p pharmaceuticals etf', 100)","('spdr series trust s&p pharmaceuticals etf', 95)"
rice family llc,,,,,,
cpn on s&p 500 index,,,,,,
guaranteed interest loan amount,,,,,,
"washoe county, nv municipal bond",,,,,,
metropcs wireless inc,,,,,,
"irving, tx indpt sch dist rfdg bond",,,,,,
long bar argentina llc,,,,,,
prospect mortgage,,,,,,
"partition street property/saugerties, ny",,,,,,
jp morgan emerging markets fund,,,,,,
met life tax sheltered annuity t-flex plan,,,,,,
mortgage/elizabeth hill,,,,,,
"washington county, md ambac",,,,,,
au optronics,"('au optronics corp', 83)","('au optronics corp', 100)","('au optronics corp', 83)",,"('au optronics corp', 100)","('au optronics corp', 95)"
deutsche tax free money market,,,,,,
"columbia, nc inter muni bond fund",,,,,,
fidelity extended market index,,,,,,
pa state employee retirement system,,,,,,
massmutual-whole life ins,,,,,,
marsico intl opportunities fund,,,,,,
good hope lp,,,,,,
us trust 2001 accounts,,,,,,
first citizens investor services mutual,,,,,,
"345 hill avenue/nashville, tn",,,,,,
vp income & growth,,,,,,
c&k drilling,,,,,,
sandusky mich cmnty school district g/o bond,,,,,,
new river pharmaceuticals,"('new river pharmaceuticals inc', 93)","('new river pharmaceuticals inc', 100)","('new river pharmaceuticals inc', 93)","('new river pharmaceuticals inc', 100)","('new river pharmaceuticals inc', 100)","('new river pharmaceuticals inc', 95)"
california credit union 401k account,,,,,,
eaton vance tax mining,,,,,,
puerto rico comwlth bond,,,,,,
bank of america/wealth management-money,,,,,,
"land & building route 108/madbury, nh",,,,,,
virtus qual sm cap,,,,,,
"green bay, wi tax exempt bond",,,,,,
metropolitan transn auth ny dedicated ta,,,,,,
collin county tex ult tax rd bonds,,,,,,
sti classic prime quality money market,,,,,,
american fund income fund 403(b),,,,,,
gmac demand notes,,,,,,
morgan stanley china fund,"('morgan stanley china a share fund', 86)",,"('morgan stanley china a share fund', 86)",,,"('morgan stanley china a share fund', 95)"
improvement lease refunding bond,,,,,,
oppenheimer main str cap fund,,,,,,
axa equitable life insurance,,,,,,
lake trust credit union checking,,,,,,
stratton growth fund,,,,,,
met govt nashville & davidson cnty tn elec rev cap,,,,,,
st mary land & exploration,,,,,,
"lot 31 less hgw blk 7/mound bayou, ms",,,,,,
fidelity vip high income sc2,,,,,,
nv cap impt bond,,,,,,
sch us div equity etf - retirement,,,,,,
"cleveland, oh waterworks rev bond",,,,,,
mckinsey retirement account,,,,,,
transcontinental gas,,"('transcontinental gas pipe line corp', 100)",,,"('transcontinental gas pipe line corp', 100)","('transcontinental gas pipe line corp', 90)"
state of illinois ga fund,,,,,,
western adv capital income builder fund,,,,,,
maryland state bonds,,,,,,
myrtle beach national corp,,,,,,
fidelity equity dividend income fund,,,,,,
ivy funds high income fund,,,,,"('ivy high income opportunities fund', 87)",
merrill lynch bank depost fund,,,,,,
erie federal credit union/savings,,,,,,
"orange park llc/mortgage/mill creek, tampa, delray",,,,,,
tekne partners lp,,,,,,
select natural gas,,,,,,
seaspan,"('seaspan corp', 74)","('seaspan corp', 100)","('seaspan corp', 74)","('seaspan corp', 100)","('seaspan corp', 100)","('seaspan corp', 90)"
"raleigh-durham, nc arpt auth bond",,,,,,
nordel-mitchel 629 se morrison,,,,,,
empty lot,,,,,,
dws muni incm tr,,,,,,
bellevue school dist no 405 wash bond,,,,,,
levakona development,,,,,,
coastal carolina clean power,,,,,,
kentosah,,,,,,
tocqueville global partners,,,,,,
"lemoore, ca usd refunding bond",,,,,,
nationwide money market prime,,,,,,
invesco/aim high yield fund,"('invesco high yield investments fund', 74)",,"('invesco high yield investments fund', 74)",,"('invesco high yield investments fund', 92)","('invesco high yield investments fund', 87)"
greeting cards wells fargo checking,,,,,,
the science source llc,,,,,,
arcos dorados holdings,"('arcos dorados holdings inc', 92)","('arcos dorados holdings inc', 100)","('arcos dorados holdings inc', 92)","('arcos dorados holdings inc', 100)","('arcos dorados holdings inc', 100)","('arcos dorados holdings inc', 95)"
403b city national bank fidelity advisor,,,,,,
schwab s&p 500 select fund,,,,,,
legg mason capital opportunity fund,,,,,,
land contract/marty & leigh wright,,,,,,
dhr bancher corp,,,,,,
forward coreplus fund institutional,,,,,,
residential real estate/east vincent,,,,,,
agic international & perm strategy fund,,,,,,
merrill lynch blackrock fund growth fund,,,,,,
xicor,,"('xicor inc', 100)",,"('xicor inc', 100)","('xicor inc', 100)","('xicor inc', 90)"
sale of jones street,,,,,,
investor money fund,,,,,,
advance america cash advance centers,"('advance america cash advance centers inc', 95)","('advance america cash advance centers inc', 100)","('advance america cash advance centers inc', 95)","('advance america cash advance centers inc', 100)","('advance america cash advance centers inc', 100)","('advance america cash advance centers inc', 95)"
mortgage receivable eric & tammy dietz,,,,,,
the salon,,,,,,
"breckenridge, mn bond",,,,,,
wells fargo cash,"('wells fargo & co', 81)","('wells fargo & co', 81)","('wells fargo & co', 87)","('wells fargo & co', 86)","('wells fargo & co', 88)","('wells fargo financial inc', 86)"
powershares db multi sector commodity tr,,,,,,
land contract,,,,,,
lake michigan credit union ira,,,,,,
daniel haskett/note receivable,,,,,,
first interstate bancsystem,"('first interstate bancsystem inc', 93)",,"('first interstate bancsystem inc', 93)",,"('first interstate bancsystem inc', 100)","('first interstate bancsystem inc', 95)"
equitable life insu,,,,,,
puerto rico commonwealth revenue bond,,,,,,
sigma marine,,,,,,
mass mutual life insurance/mass mutual,"('massachusetts mutual life insurance co', 71)",,"('massachusetts mutual life insurance co', 76)","('massachusetts mutual life insurance co', 79)","('northwestern mutual life insurance co (the)', 89)",
hartford life,"('hartford life inc', 87)","('hartford life insurance co', 100)","('hartford life inc', 87)",,"('hartford life insurance co', 100)","('hartford life inc', 95)"
"charlotte, nc ctfs partn cops bonds",,,,,,
jackson mid cap growth fund,,,,,,
fundamental inv,,,,,,
vanguard inter-term invest-gr inv fund,"('vanguard intermediate-term bond etf', 66)",,"('vanguard intermediate-term bond etf', 68)",,,
"14 george street/dewey beach, de",,,,,,
farmland/1217 acres/conejos & costill,,,,,,
"loan secured/property missouri city, tx",,,,,,
union county n j bond,,,,,,
pnc savings,,,,,,
"434 acres hines road/troup county, ga",,,,,,
vanguard inflation protected,,,,,,"('vanguard emerging markets government bond etf', 86)"
yakima co wa school district 208 bond,,,,,,
athlon energy,"('athlon energy inc', 87)","('athlon energy inc', 100)","('athlon energy inc', 87)","('athlon energy inc', 100)","('athlon energy inc', 100)","('athlon energy inc', 95)"
aim diversified dividend fund,,,,,,
pimco ret institutional,,,,,,
oil & gas working interest investment th,,,,,,
easton pa area sch bond,,,,,,
sybase inc,"('sybase inc.', 100)","('sybase inc.', 100)","('sybase inc.', 100)","('sybase inc.', 100)","('sybase inc.', 100)","('sybase inc.', 100)"
rosemont select opportunities v,,,,,,
key bank - checking act,,,,,,
unova inc,,,,,,
key bridge partner,,,,,,
eafe select,,,,,,
"5151 fleet rd/toledo, oh",,,,,,
"southampton cnty industrial dev auth, va",,,,,,
livermore-amador valley wtr,,,,,,
2nd mortgage on 6113 inland,,,,,,
surewest,,"('surewest communications', 100)",,"('surewest communications', 100)","('surewest communications', 100)","('surewest communications', 90)"
sands point condo,,,,,,
amn healthcare services,"('amn healthcare services inc.', 92)","('amn healthcare services inc.', 100)","('amn healthcare services inc.', 92)",,"('amn healthcare services inc.', 100)","('amn healthcare services inc.', 95)"
lot 515/517 (1/2 interest),,,,,,
mount kisco surgery center,,,,,,
invesco s&p 500 index fund,,,,,,
globalstar telecommunications,"('globalstar telecommunications ltd', 94)","('globalstar telecommunications ltd', 100)","('globalstar telecommunications ltd', 94)",,"('globalstar telecommunications ltd', 100)","('globalstar telecommunications ltd', 95)"
forest hills mich pub schs g/o bond,,,,,,
legg mason value trusts,,"('legg mason inc', 79)",,,"('legg mason inc', 83)","('true value co', 86)"
student transn inc,"('student transportation inc', 82)",,"('student transportation inc', 82)","('student transportation inc', 94)","('student transportation inc', 82)",
calloway golf,,,,,,
baltimore md proj rev pro j rev bonds,,,,,,
indiabulls real estate ltd,,,,,,
medical park - commercial real estate,,,,,,
understory inc,,,,,,
buncombe county nc ctfs partn bond,,,,,,
global/international stock fund,,,,,,
duquesne light holdings,"('duquesne light holdings inc', 92)","('duquesne light holdings inc', 100)","('duquesne light holdings inc', 92)","('duquesne light holdings inc', 83)","('duquesne light holdings inc', 100)","('duquesne light holdings inc', 95)"
turner effect,,,,,,
first natl bank of lj defined benefit,,,,,,
kazakhstan tenge (currency),,,,,,
dws short term muni bond fund,,,,,,
goldman sachs absolute return tracker fund,,,,,,
ama llc,,,,,,
metropolitan washington dc airports auth,,,,,,
american beacon small cap val fund,,,,,,
hewitt large stocks,"('hewitt associates inc.', 60)",,,,"('hewitt associates inc.', 60)",
78 acres,,,,,,
"friedman, billings & ramsey",,,,,,
tpg midwest co investors llc,,,,,,
"15% interest in legal press, llc",,,,,,
washington state agm b/e bond,,,,,,
virginia res auth clean water rev rfdg,,,,,,
gabelli gold nat resources fund,,,,,,
portland mich pub schs go,,,,,,
spdr index shares fund dow jones intl,,,,,,
fairfax county deferred comp 401k,,,,,,
mason street mutual fund,,,,,,
new york st dorm auth sch dist bond,,,,,,
sma relationship trust,,,,,,
pflugerville tex indpt sch dis bond,,,,,,
north fulton professional building lp,,,,,,
federated prime value obligation fund (fka cash),,,,,,
new jersey education fac au bond,,,,,,
university of oklahoma,,,,,,
"jim thorpe, pa area school dist bond",,,,,,
campus bellhops inc,,,,,,
emegeon inc,,,,,,
vwr international,"('vwr international inc', 89)","('vwr international inc', 100)","('vwr international inc', 89)","('vwr international inc', 100)","('vwr international inc', 100)","('vwr international inc', 95)"
cohen & steers total return rlty fund,"('cohen & steers total return realty fund inc.', 92)","('cohen & steers total return realty fund inc.', 95)","('cohen & steers total return realty fund inc.', 79)",,"('cohen & steers total return realty fund inc.', 92)","('cohen & steers total return realty fund inc.', 92)"
marriott vacations worldwide,"('marriott vacations worldwide corp', 92)","('marriott vacations worldwide corp', 100)","('marriott vacations worldwide corp', 92)","('marriott vacations worldwide corp', 100)","('marriott vacations worldwide corp', 100)","('marriott vacations worldwide corp', 95)"
national city bank account,"('national city bancorp/mn', 80)",,,,,
synergy resources corp,,,,,,
graystone classics,,,,,,
us senate fcu roth ira,,,,,,
employee investment plan,,,,,,
met life variable annuity fund,,,,,,
main street financial services,,,,,,
personal checking account - legacy texas bank,,,,,,
elevation brands llc,,,,,,
ccfu,,,,,,
quantum polymise tech corp,,,,,,
nbt bank,,,,,,
management operations,,,,,,
prosegur comp seguridad,,,,,,
"henrico county, va pub impt bond",,,,,,
oppenheimer global equity portfolio,"('oppenheimer global esg revenue etf', 70)","('oppenheimer & co', 81)","('oppenheimer global esg revenue etf', 67)","('oppenheimer & co', 86)","('oppenheimer & co', 88)",
kgen power corp,,,,,,
neurala inc,,,,,,
equity one,"('equity one inc.', 83)","('equity one inc.', 100)","('equity one inc.', 83)",,"('equity one inc.', 100)","('equity one inc.', 95)"
new york state twy auth spl tax bond,,,,,,
